id,hospital_id,drug_id,current_stock,daily_consumption,days_of_stock_remaining,required_stock_level,pipeline_stock,stock_runway_score,criticality_score,shortage_frequency_score,patient_surge_score,pipeline_credit_score,risk_score,risk_level
65f8eabd-2cd9-4a60-93b7-7a9dc4f0c4dc,4412a3ea-7898-42e2-8fb3-7afd57d7d349,fb73f467-53f4-42bb-bf03-6c83f2bdb1b7,1026,23.36,43.92,490,0,0.0,20.0,5.0,12.0,0.0,37,MEDIUM
60a07937-4cdd-48c2-9244-331d9be08938,4ae98cc1-cb3c-4e5f-b6cd-1f83ea5d4c77,74970ff4-2a08-4f93-a3e3-06c395e7cc5d,168,1.0,168.0,21,0,0.0,20.0,15.0,1.0,0.0,36,MEDIUM
93a45c1a-d782-40f2-815e-218a53af2c96,52b26c2e-5540-42a1-a8c0-5f96b1a7df56,a34551bd-187b-46a8-bd4d-422c06eff0fa,270,6.21,43.48,130,0,0.0,10.0,5.0,11.0,0.0,26,SURPLUS
7dec68d7-dd1e-4dbf-91f1-d478034fb78a,8c9dd271-7fe2-4838-95b7-ecf6fb2d9d2c,9a53231e-0e18-4d29-bdca-292c99ec84ba,251,1.0,251.0,21,0,0.0,10.0,15.0,3.0,0.0,28,SURPLUS
a67db581-ac6a-4e33-a794-f0e3325fd7c7,f4957732-1c15-480e-a95c-168c44e645f3,ff13e030-b20f-4e3a-9b03-107ad34e60e2,842,3.93,214.25,82,0,0.0,30.0,15.0,12.0,0.0,57,MEDIUM
e1d41eaf-6de9-4ad8-92f0-4da0e3d82ecf,4efa322e-b7da-46a3-8997-0c5785d3443a,bf864bc6-3ff9-40df-b3ba-15a657cad795,1396,11.86,117.71,249,0,0.0,20.0,5.0,2.0,0.0,27,SURPLUS
73215735-4262-4c12-be59-74abf5645841,3aa8a907-2778-4339-8b1f-5849cad16428,ff13e030-b20f-4e3a-9b03-107ad34e60e2,1119,3.14,356.37,65,0,0.0,30.0,0.0,3.0,0.0,33,MEDIUM
d5cb88c0-4f89-4bb9-95d3-7a86a8f1e4e0,f4957732-1c15-480e-a95c-168c44e645f3,01784c47-9315-4127-9c05-27a071585e68,1450,14.43,100.49,303,0,0.0,20.0,15.0,9.0,0.0,44,MEDIUM
de6cb870-fcba-43d8-8df2-34a35e40ca74,4ae98cc1-cb3c-4e5f-b6cd-1f83ea5d4c77,ed3ad51d-dc53-4e58-9e93-f83383f3d25f,1438,1.0,1438.0,21,0,0.0,10.0,0.0,13.0,0.0,23,SURPLUS
71cd7c3e-e041-4178-b9d0-5b682174ff50,e400d1d0-c992-4b6e-b9e4-1978eb1c1d37,705ab241-d938-4ded-8eb5-490d149e246d,85,1.0,85.0,21,0,0.0,30.0,15.0,15.0,0.0,60,HIGH
bff6a624-396d-4335-96c7-0e45e4453d4b,52b26c2e-5540-42a1-a8c0-5f96b1a7df56,f1813e98-4204-47e6-b9ba-d3aa93a3b684,395,8.21,48.11,172,0,0.0,30.0,0.0,1.0,0.0,31,MEDIUM
a6e74db5-c8b8-4ae7-868a-a8112ccc2bb4,e400d1d0-c992-4b6e-b9e4-1978eb1c1d37,a2d9fd18-ea3e-44be-a0a7-f2014ccca209,1344,15.5,86.71,325,0,0.0,20.0,5.0,1.0,0.0,26,SURPLUS
e359321f-b43a-48a6-9bd3-7b03de172487,d9232cfb-c4f1-4e59-8121-2970b4908912,4181b429-be0e-4aa8-86ff-43647a0bf2c0,818,1.0,818.0,21,0,0.0,20.0,0.0,14.0,0.0,34,MEDIUM
